steps,train_loss,val_loss,perplexity,learning_rate
500,2.6069084429740905,2.6296047163009644,13.868286910783366,0.0001
1000,2.4828629219532012,2.509166166782379,12.294674077569313,0.0001
1500,2.321912511587143,2.3667735588550567,10.662933397180156,0.0001
2000,2.1985973620414736,2.2725313913822176,9.703934204584563,0.0001
2500,2.1091049444675445,2.201757881641388,9.040892357465564,0.0001
3000,2.028826757073402,2.1443483138084414,8.536476320458704,0.0001
3500,1.9639403742551804,2.0937462282180785,8.115259905308122,0.0001
4000,1.9086392802000045,2.050301741361618,7.770245357024418,0.0001
4500,1.8629693967103957,2.022265152335167,7.555419741851667,0.0001
5000,1.824991107583046,2.0022118145227434,7.405417407939942,0.0001
5500,1.7922186940908431,1.975350831747055,7.209148408341724,0.0001
6000,1.76336286008358,1.958055099248886,7.08553299701012,0.0001
6500,1.7335662740468978,1.9341347658634185,6.918055727124969,0.0001
7000,1.7148280924558639,1.9231860196590425,6.842724832686243,0.0001
7500,1.6906712299585342,1.906379479765892,6.728683310833753,0.0001
8000,1.6714167881011963,1.8932537293434144,6.640941392004722,0.0001
8500,1.6529155421257018,1.8876634407043458,6.603920188807524,0.0001
9000,1.6365305608510972,1.877783977985382,6.538998230587663,0.0001
9500,1.621573201417923,1.867464530467987,6.471866359186546,0.0001
10000,1.610116834640503,1.8658940589427948,6.461710454221734,0.0001
10500,1.5968596547842027,1.855048336982727,6.392007213495943,0.0001
11000,1.5806638479232789,1.8506876170635223,6.3641941468872805,0.0001
11500,1.5693613225221634,1.8399668669700622,6.296329641092074,0.0001
12000,1.5606984531879424,1.8447853773832321,6.326741782800671,0.0001
12500,1.548511244058609,1.8386155635118484,6.2878271351007,0.0001
13000,1.535356519818306,1.8397775250673294,6.295137594913304,0.0001
13500,1.5282289910316467,1.8259172463417053,6.208487120274891,0.0001
14000,1.5159312492609025,1.8248052263259888,6.201586995579265,0.0001
14500,1.5078383111953735,1.8193439549207688,6.167810760396357,0.0001
15000,1.4981103718280793,1.8224102741479873,6.186752262625884,0.0001
15500,1.4908058530092239,1.8171283453702927,6.154160427458144,0.0001
16000,1.4790088295936585,1.8183415406942367,6.161631156922252,0.0001
16500,1.4729857057332993,1.8211734807491302,6.179105258124224,0.0001
17000,1.4608665162324905,1.8166475182771682,6.151202051679797,0.0001
17500,1.4562993794679642,1.8187828516960145,6.164350952634442,0.0001
18000,1.4470868241786956,1.8138094556331634,6.133769304236997,0.0001
18500,1.4411649435758591,1.8154396736621856,6.143776840559353,0.0001
19000,1.432556507587433,1.8122279334068299,6.124076278639215,0.0001
19500,1.4242235159873962,1.815567628145218,6.144563014645029,0.0001
20000,1.417357388138771,1.8137626427412032,6.133482171478059,0.0001
20500,1.4087814658880233,1.812497656941414,6.125728308924861,0.0001
21000,1.3995110642910005,1.8137330037355424,6.1333003838592735,0.0001
21500,1.394855219721794,1.8158403480052947,6.146238987535774,0.0001
22000,1.3882749837636947,1.8166919714212417,6.151475498028556,0.0001
22500,1.3792778497934342,1.823044992685318,6.190680355457639,0.0001
23000,1.3750185328722,1.818783511519432,6.164355020018896,0.0001
23500,1.3682265704870225,1.8140900468826293,6.135490627712867,0.0001
24000,1.3597501927614213,1.8196781396865844,6.169872293238163,0.0001
